cs_year,complaint,date_occur,crime,description,ileads_address,ileads_street,neighborhood,region,gw_source,gw_address,gw_score,x,y
2017,17-023149,1/1/2017 0:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,7410,HALL ST,79,North NonHayden,NA,NA,NA,-90.22189478543504,38.70306054388603
2017,19-021057,01/01/2017 00:01,21000,RAPE -- FORCIBLE,4200,LABADIE AVE,56,North Hayden,"city api, batch","4200 Labadie Ave, 63115",100,-90.23312970127621,38.661869207038905
2017,18-021847,01/01/2017 00:01,21000,RAPE -- FORCIBLE,5900,PAGE BLVD,48,North NonHayden,"city api, batch",5900 Page Blvd,100,-90.28613324315391,38.66847830079041
2017,17-000118,01/01/2017 00:01,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4016,PECK ST,67,North NonHayden,NA,NA,NA,-90.21418680667793,38.66302879920932
2017,18-006151,01/01/2017 00:01,67601,"LARCENY-FROM BUILDING $500 - $24,999",909,CHESTNUT ST,35,Downtown,NA,NA,NA,-90.1941181674168,38.62747616983865
2017,17-000071,01/01/2017 00:01,67601,"LARCENY-FROM BUILDING $500 - $24,999",4050,BAMBERGER AVE,16,Southeast,NA,NA,NA,-90.25012721004565,38.58422896312146
2017,17-034387,01/01/2017 00:01,67601,"LARCENY-FROM BUILDING $500 - $24,999",3540,ARKANSAS AVE,19,Southeast,NA,NA,NA,-90.24173185579534,38.592201422574355
2017,17-007727,01/01/2017 00:01,21000,RAPE -- FORCIBLE,5500,S GRAND BLVD,1,South,"city api, batch","5500 S Grand Blvd, 63111",100,-90.25308851959251,38.569539070548366
2017,18-052746,01/01/2017 00:01,21000,RAPE -- FORCIBLE,4100,CONNECTICUT ST,15,South,"city api, batch","4100 Connecticut St, 63116",100,-90.25572026994321,38.600837512730344
2017,17-000107,01/01/2017 00:01,71030,AUTO THEFT-PERM RETNT/JOY RIDE,2317,ANN AVE,23,South,NA,NA,NA,-90.22073473065463,38.610029222880236
2017,17-052030,01/01/2017 00:23,21000,RAPE -- FORCIBLE,3700,MORGANFORD RD,15,South,"city api, batch",3700 Morganford Rd,100,-90.26318803683047,38.59159279673064
2017,17-052030,01/01/2017 00:23,21000,RAPE -- FORCIBLE,3700,MORGANFORD RD,15,South,"city api, batch",3700 Morganford Rd,100,-90.26318803683047,38.59159279673064
2017,17-000092,01/01/2017 01:00,67601,"LARCENY-FROM BUILDING $500 - $24,999",1000,SPRUCE ST,35,Downtown,NA,NA,NA,-90.19736836272213,38.623401439285054
2017,17-000047,01/01/2017 01:00,71030,AUTO THEFT-PERM RETNT/JOY RIDE,2524,HAMPTON AVE,12,South,NA,NA,NA,-90.28699724601812,38.61243124274926
2017,17-000032,01/01/2017 01:10,64701,LARCENY-FROM MTR VEH UNDER $500,1515,HAMPTON AVE,42,Forest Park,NA,NA,NA,-90.28858724263306,38.62362378030635
2017,17-000025,01/01/2017 01:15,43203,AGG.ASSAULT-OTH DANG WEP/POL OFFC 3RD DEGREE,212,N KINGSHIGHWAY BLVD,38,Midtown,NA,NA,NA,-90.26365111757136,38.64425009134736
2017,17-000021,01/01/2017 01:22,41021,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1533,E GRAND BLVD,66,North NonHayden,NA,NA,NA,-90.20668730328258,38.67148133706602
2017,17-000021,01/01/2017 01:22,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1533,E GRAND BLVD,66,North NonHayden,NA,NA,NA,-90.20668730328258,38.67148133706602
2017,17-000018,01/01/2017 01:26,65601,"LARCENY-MTR VEH PARTS $500 - $24,999",2244,S KINGSHIGHWAY BLVD,13,South,NA,NA,NA,-90.26647918041003,38.61445154230971
2017,17-000041,01/01/2017 02:30,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4949,BARNES JEWISH HOSPITAL PLZ,38,Midtown,NA,NA,NA,-90.26478106188067,38.63501785230494
2017,17-000040,01/01/2017 03:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,100,S 18TH ST,36,Downtown,NA,NA,NA,-90.2063276310536,38.629267585710025
2017,17-000040,01/01/2017 03:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,100,S 18TH ST,36,Downtown,NA,NA,NA,-90.2063276310536,38.629267585710025
2017,17-000040,01/01/2017 03:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,100,S 18TH ST,36,Downtown,NA,NA,NA,-90.2063276310536,38.629267585710025
2017,17-000040,01/01/2017 03:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,100,S 18TH ST,36,Downtown,NA,NA,NA,-90.2063276310536,38.629267585710025
2017,17-000050,01/01/2017 04:41,51222,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,6141,LAGOON DR,82,Forest Park,NA,NA,NA,-90.29954504008803,38.64498435756436
2017,17-008491,01/01/2017 08:00,65701,LARCENY-MTR VEH PARTS UNDER $500,1503,OFALLON ST,61,North NonHayden,NA,NA,NA,-90.19819163734475,38.63934910459985
2017,17-000123,01/01/2017 08:15,64701,LARCENY-FROM MTR VEH UNDER $500,1401,CLARK AVE,36,Downtown,NA,NA,NA,-90.20245716670344,38.62643774843937
2017,17-013656,01/01/2017 08:29,63601,"LARCENY-SHOPLIFT $500 - $24,999",2600,CHOUTEAU AVE,31,Midtown,NA,NA,NA,-90.21893211323454,38.622032837709526
2017,17-000063,01/01/2017 09:08,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2607,GRAVOIS AVE,24,South,NA,NA,NA,-90.22342607413964,38.60507921228538
2017,19-040019,01/01/2017 09:30,65701,LARCENY-MTR VEH PARTS UNDER $500,4822,GREER AVE,55,North Hayden,NA,NA,NA,-90.25034045311513,38.67058589862617
2017,17-000121,01/01/2017 10:00,67701,LARCENY-FROM BUILDING UNDER $500,4324,MARGARETTA AVE,68,North Hayden,NA,NA,NA,-90.23420641230241,38.671431782036244
2017,17-013667,01/01/2017 10:00,65701,LARCENY-MTR VEH PARTS UNDER $500,906,RIVERVIEW BLVD,74,North NonHayden,NA,NA,NA,-90.23173635368136,38.72442726005803
2017,17-010239,01/01/2017 10:00,67601,"LARCENY-FROM BUILDING $500 - $24,999",6301,CLAYTON AVE,42,Forest Park,NA,NA,NA,-90.29141518992972,38.62880766776406
2017,17-000099,01/01/2017 11:00,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4021,LABADIE AVE,56,North Hayden,NA,NA,NA,-90.22890013027865,38.66068861786727
2017,17-006545,01/01/2017 12:00,44025,ASLT-AGGRV-HND/FST/FT-2ND-CHILD-DOMESTIC,4112,W LEE AVE,68,North Hayden,NA,NA,NA,-90.22607133654112,38.671201578443025
2017,19-041624,01/01/2017 12:00,21000,RAPE -- FORCIBLE,1900,E GANO AVE,66,North NonHayden,"city api, batch","1900 E Gano Ave, 63107",100,-90.20942000517572,38.672883665224774
2017,17-010740,01/01/2017 12:00,67701,LARCENY-FROM BUILDING UNDER $500,2210,S 12TH ST,21,Southeast,NA,NA,NA,-90.20993816042157,38.606320669152836
2017,17-012990,01/01/2017 12:00,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5243,SOUTHWEST AVE,12,South,NA,NA,NA,-90.27523118927874,38.611467380110994
2017,17-002820,01/01/2017 12:20,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1436,TEMPLE PL,78,North NonHayden,NA,NA,NA,-90.27770488388062,38.66890569590453
2017,17-058907,01/01/2017 13:00,67601,"LARCENY-FROM BUILDING $500 - $24,999",4501,LINDELL BLVD,38,Midtown,NA,NA,NA,-90.25805281881604,38.64300847784426
2017,17-000091,01/01/2017 13:25,63701,LARCENY-SHOPLIFT UNDER $500,3657,PAGE BLVD,77,Midtown,NA,NA,NA,-90.22904035413659,38.64698686233765
2017,17-000397,01/01/2017 14:00,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5140,PALM ST,52,North Hayden,NA,NA,NA,-90.25598296227763,38.676833744898026
2017,17-000101,01/01/2017 14:08,64601,"LARCENY-FROM MTR VEH $500 - $24,999",405,WASHINGTON AVE,35,Downtown,NA,NA,NA,-90.18727150744,38.6302204632448
2017,17-000295,01/01/2017 14:30,51122,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,1448,LAUREL ST,78,North NonHayden,NA,NA,NA,-90.28113746811749,38.67105671914931
2017,17-000117,01/01/2017 14:30,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3124,ALLEN AVE,26,South,NA,NA,NA,-90.23160317028002,38.613064192386034
2017,17-000119,01/01/2017 15:00,64601,"LARCENY-FROM MTR VEH $500 - $24,999",50,DR MARTIN LUTHER KING DR,35,Downtown,NA,NA,NA,-90.18413829231183,38.63184861266607
2017,17-000125,01/01/2017 15:00,64701,LARCENY-FROM MTR VEH UNDER $500,3933,S BROADWAY,16,Southeast,NA,NA,NA,-90.22823827137043,38.58351017682985
2017,17-000260,01/01/2017 15:00,65701,LARCENY-MTR VEH PARTS UNDER $500,7515,MINNESOTA AVE,2,South,NA,NA,NA,-90.25963573403025,38.54931324968293
2017,17-000501,01/01/2017 15:00,69602,"LARCENY-ALL OTHER $500 - $24,999",6401,SCANLAN AVE,9,South,NA,NA,NA,-90.29709348291557,38.605573371260675
2017,17-000124,01/01/2017 15:15,64601,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 14TH ST / DR MARTIN LUTHER K,36,Downtown,NA,NA,NA,-90.19801241550351,38.6347519818696
2017,17-000428,01/01/2017 15:30,67701,LARCENY-FROM BUILDING UNDER $500,4945,SAINT LOUIS AVE,55,North Hayden,NA,NA,NA,-90.25271075372486,38.670357532359525
